"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 14 14:01:15 EEST 2022","Tue Jun 14 14:01:46 EEST 2022","30246","webkit","elasticSipPage.spec.ts","testing the elastic sip pricing page","","","TNP-30 Verify the Elastic SIP Trunking Pricing page",""
"passed","Tue Jun 14 13:50:29 EEST 2022","Tue Jun 14 13:50:47 EEST 2022","17718","chromium","elasticSipPage.spec.ts","testing the elastic sip pricing page","","","TNP-31 Verify the currency was changed when the currency was changed in the listbox",""
"broken","Tue Jun 14 13:56:47 EEST 2022","Tue Jun 14 13:57:17 EEST 2022","30014","firefox","mainPage.spec.ts","main page testing","","","TNP-10 Verify the 'Explore our products' button in 'Powerful products' cards table works",""
"passed","Tue Jun 14 13:59:49 EEST 2022","Tue Jun 14 14:00:07 EEST 2022","17848","firefox","signUpPage.spec.ts","sign up page testing","","","TNP-29 Verify the error messages on the Sign Up page are dislayed with empty inputs registration",""
"passed","Tue Jun 14 14:00:48 EEST 2022","Tue Jun 14 14:01:02 EEST 2022","14233","firefox","twilioPriceCalcPage.spec.ts","testing the twilio price calculator page","","","TNP-35 Verify all inputs in breakdown overlap are required",""
"broken","Tue Jun 14 13:54:13 EEST 2022","Tue Jun 14 13:54:58 EEST 2022","45538","firefox","elasticSipPage.spec.ts","testing the elastic sip pricing page","","","TNP-31 Verify the currency was changed when the currency was changed in the listbox",""
"passed","Tue Jun 14 14:02:30 EEST 2022","Tue Jun 14 14:02:46 EEST 2022","15887","webkit","mainPage.spec.ts","main page testing","","","TNP-04 Verify the 'Messaging API' card works",""
"failed","Tue Jun 14 13:52:59 EEST 2022","Tue Jun 14 13:53:09 EEST 2022","9398","chromium","twilioPriceCalcPage.spec.ts","testing the twilio price calculator page","","","TNP-32 Verify the twilio price calculator page",""
"passed","Tue Jun 14 13:50:29 EEST 2022","Tue Jun 14 13:50:42 EEST 2022","12637","chromium","elasticSipPage.spec.ts","testing the elastic sip pricing page","","","TNP-30 Verify the Elastic SIP Trunking Pricing page",""
"passed","Tue Jun 14 13:51:24 EEST 2022","Tue Jun 14 13:51:40 EEST 2022","16009","chromium","mainPage.spec.ts","main page testing","","","TNP-11 Verify the 'See all products' link in 'Products' tab dropdownlist works",""
"passed","Tue Jun 14 13:58:55 EEST 2022","Tue Jun 14 13:59:15 EEST 2022","20357","firefox","mainPage.spec.ts","main page testing","","","TNP-26 Verify the email input in EmailFormCtaForm on the main page",""
"broken","Tue Jun 14 13:52:40 EEST 2022","Tue Jun 14 13:53:40 EEST 2022","60035","chromium","signUpPage.spec.ts","sign up page testing","","","TNP-25 Verify the Show/Hide password button",""
"broken","Tue Jun 14 13:53:59 EEST 2022","Tue Jun 14 13:55:01 EEST 2022","62552","firefox","mainPage.spec.ts","main page testing","","","TNP-02 Verify the main page hovers",""
"broken","Tue Jun 14 14:00:49 EEST 2022","Tue Jun 14 14:01:41 EEST 2022","52720","firefox","twilioPriceCalcPage.spec.ts","testing the twilio price calculator page","","","TNP-33 Verify the twilio price calculator functionality",""
"passed","Tue Jun 14 13:50:55 EEST 2022","Tue Jun 14 13:51:04 EEST 2022","9257","chromium","mainPage.spec.ts","main page testing","","","TNP-04 Verify the 'Messaging API' card works",""
"broken","Tue Jun 14 13:57:27 EEST 2022","Tue Jun 14 13:57:57 EEST 2022","30004","firefox","mainPage.spec.ts","main page testing","","","TNP-11 Verify the 'See all products' link in 'Products' tab dropdownlist works",""
"failed","Tue Jun 14 14:02:46 EEST 2022","Tue Jun 14 14:03:05 EEST 2022","18425","webkit","mainPage.spec.ts","main page testing","","","TNP-07 Verify the 'Wireless' card works",""
"broken","Tue Jun 14 14:02:04 EEST 2022","Tue Jun 14 14:02:38 EEST 2022","33988","webkit","mainPage.spec.ts","main page testing","","","TNP-02 Verify the main page hovers",""
"passed","Tue Jun 14 14:00:07 EEST 2022","Tue Jun 14 14:00:17 EEST 2022","10139","firefox","signUpPage.spec.ts","sign up page testing","","","TNP-25 Verify the Show/Hide password button",""
"broken","Tue Jun 14 14:03:00 EEST 2022","Tue Jun 14 14:03:32 EEST 2022","32062","webkit","mainPage.spec.ts","main page testing","","","TNP-08 Verify the 'Voice API' card works",""
"passed","Tue Jun 14 14:02:39 EEST 2022","Tue Jun 14 14:03:00 EEST 2022","21339","webkit","mainPage.spec.ts","main page testing","","","TNP-06 Verify the 'Video API' card works",""
"broken","Tue Jun 14 13:56:56 EEST 2022","Tue Jun 14 13:57:26 EEST 2022","30738","firefox","mainPage.spec.ts","main page testing","","","TNP-12 Verify the 'Elastic SIP Trunking' link in 'Products' tab dropdownlist works",""
"passed","Tue Jun 14 13:51:48 EEST 2022","Tue Jun 14 13:52:00 EEST 2022","11757","chromium","mainPage.spec.ts","main page testing","","","TNP-15 Verify the 'Wireless' link in 'Products' tab dropdownlist works",""
"broken","Tue Jun 14 14:06:12 EEST 2022","Tue Jun 14 14:06:44 EEST 2022","32183","webkit","signUpPage.spec.ts","sign up page testing","","","TNP-25 Verify the Show/Hide password button",""
"passed","Tue Jun 14 13:51:51 EEST 2022","Tue Jun 14 13:52:01 EEST 2022","9429","chromium","mainPage.spec.ts","main page testing","","","TNP-16 Verify the 'Number Lookup' link in 'Products' tab dropdownlist works",""
"broken","Tue Jun 14 14:07:13 EEST 2022","Tue Jun 14 14:07:44 EEST 2022","31290","webkit","twilioPriceCalcPage.spec.ts","testing the twilio price calculator page","","","TNP-34 Verify the Get the full price breakdown overlap is displayed",""
"passed","Tue Jun 14 13:50:47 EEST 2022","Tue Jun 14 13:50:58 EEST 2022","11133","chromium","mainPage.spec.ts","main page testing","","","TNP-02 Verify the main page hovers",""
"passed","Tue Jun 14 13:52:23 EEST 2022","Tue Jun 14 13:52:40 EEST 2022","16523","chromium","signUpPage.spec.ts","sign up page testing","","","TNP-20 Verify the Sign Up page",""
"passed","Tue Jun 14 13:58:08 EEST 2022","Tue Jun 14 13:58:26 EEST 2022","18006","firefox","mainPage.spec.ts","main page testing","","","TNP-14 Verify the 'SMS API' link in 'Products' tab dropdownlist works",""
"passed","Tue Jun 14 13:51:04 EEST 2022","Tue Jun 14 13:51:14 EEST 2022","9156","chromium","mainPage.spec.ts","main page testing","","","TNP-07 Verify the 'Wireless' card works",""
"passed","Tue Jun 14 14:04:23 EEST 2022","Tue Jun 14 14:04:47 EEST 2022","23916","webkit","mainPage.spec.ts","main page testing","","","TNP-15 Verify the 'Wireless' link in 'Products' tab dropdownlist works",""
"passed","Tue Jun 14 13:53:53 EEST 2022","Tue Jun 14 13:53:59 EEST 2022","6059","firefox","mainPage.spec.ts","main page testing","","","TNP-01 Verify the main page",""
"passed","Tue Jun 14 14:03:33 EEST 2022","Tue Jun 14 14:04:00 EEST 2022","26955","webkit","mainPage.spec.ts","main page testing","","","TNP-12 Verify the 'Elastic SIP Trunking' link in 'Products' tab dropdownlist works",""
"passed","Tue Jun 14 13:50:42 EEST 2022","Tue Jun 14 13:50:47 EEST 2022","4968","chromium","mainPage.spec.ts","main page testing","","","TNP-01 Verify the main page",""
"passed","Tue Jun 14 13:59:27 EEST 2022","Tue Jun 14 13:59:49 EEST 2022","21872","firefox","signUpPage.spec.ts","sign up page testing","","","TNP-20 Verify the Sign Up page",""
"passed","Tue Jun 14 14:04:50 EEST 2022","Tue Jun 14 14:05:14 EEST 2022","23861","webkit","mainPage.spec.ts","main page testing","","","TNP-18 Verify the 'Video API' link in 'Products' tab dropdownlist works",""
"broken","Tue Jun 14 14:05:39 EEST 2022","Tue Jun 14 14:06:11 EEST 2022","31913","webkit","signUpPage.spec.ts","sign up page testing","","","TNP-29 Verify the error messages on the Sign Up page are dislayed with empty inputs registration",""
"passed","Tue Jun 14 13:53:10 EEST 2022","Tue Jun 14 13:53:18 EEST 2022","7776","chromium","twilioPriceCalcPage.spec.ts","testing the twilio price calculator page","","","TNP-33 Verify the twilio price calculator functionality",""
"passed","Tue Jun 14 14:05:14 EEST 2022","Tue Jun 14 14:05:39 EEST 2022","25088","webkit","mainPage.spec.ts","main page testing","","","TNP-27 Test the email input in Email Form with incorrect data",""
"passed","Tue Jun 14 13:51:36 EEST 2022","Tue Jun 14 13:51:48 EEST 2022","12419","chromium","mainPage.spec.ts","main page testing","","","TNP-13 Verify the 'Voice API' link in 'Products' tab dropdownlist works",""
"passed","Tue Jun 14 14:04:47 EEST 2022","Tue Jun 14 14:05:09 EEST 2022","22182","webkit","mainPage.spec.ts","main page testing","","","TNP-17 Verify the 'Global Numbers' link in 'Products' tab dropdownlist works",""
"broken","Tue Jun 14 14:06:08 EEST 2022","Tue Jun 14 14:06:40 EEST 2022","31886","webkit","signUpPage.spec.ts","sign up page testing","","","TNP-22 Test the email validation on the Sign Up page with incorrect data",""
"broken","Tue Jun 14 13:58:54 EEST 2022","Tue Jun 14 14:00:04 EEST 2022","69642","firefox","mainPage.spec.ts","main page testing","","","TNP-18 Verify the 'Video API' link in 'Products' tab dropdownlist works",""
"broken","Tue Jun 14 13:55:03 EEST 2022","Tue Jun 14 13:55:50 EEST 2022","47493","firefox","mainPage.spec.ts","main page testing","","","TNP-04 Verify the 'Messaging API' card works",""
"passed","Tue Jun 14 14:03:06 EEST 2022","Tue Jun 14 14:03:23 EEST 2022","17069","webkit","mainPage.spec.ts","main page testing","","","TNP-09 Verify the 'Elastic SIP Trunking' card works",""
"passed","Tue Jun 14 13:52:13 EEST 2022","Tue Jun 14 13:52:25 EEST 2022","12598","chromium","mainPage.spec.ts","main page testing","","","TNP-27 Test the email input in Email Form with incorrect data",""
"passed","Tue Jun 14 13:50:58 EEST 2022","Tue Jun 14 13:51:05 EEST 2022","7572","chromium","mainPage.spec.ts","main page testing","","","TNP-06 Verify the 'Video API' card works",""
"passed","Tue Jun 14 13:51:22 EEST 2022","Tue Jun 14 13:51:36 EEST 2022","13919","chromium","mainPage.spec.ts","main page testing","","","TNP-12 Verify the 'Elastic SIP Trunking' link in 'Products' tab dropdownlist works",""
"passed","Tue Jun 14 14:02:15 EEST 2022","Tue Jun 14 14:02:30 EEST 2022","15192","webkit","mainPage.spec.ts","main page testing","","","TNP-03 Verify the 'Powerful products' cards table",""
"passed","Tue Jun 14 14:04:00 EEST 2022","Tue Jun 14 14:04:23 EEST 2022","22350","webkit","mainPage.spec.ts","main page testing","","","TNP-13 Verify the 'Voice API' link in 'Products' tab dropdownlist works",""
"passed","Tue Jun 14 13:53:23 EEST 2022","Tue Jun 14 13:53:28 EEST 2022","5832","chromium","twilioPriceCalcPage.spec.ts","testing the twilio price calculator page","","","TNP-35 Verify all inputs in breakdown overlap are required",""
